iter	Passed	Remaining
0	61	61692
1	65	32593
2	68	22628
3	72	18100
4	77	15368
5	78	13010
6	80	11453
7	81	10104
8	83	9157
9	84	8373
10	87	7909
11	89	7395
12	92	7011
13	96	6807
14	99	6558
15	102	6317
16	106	6171
17	109	5991
18	112	5794
19	114	5624
20	115	5395
21	117	5226
22	121	5144
23	121	4959
24	125	4906
25	129	4863
26	133	4815
27	136	4725
28	138	4644
29	140	4555
30	145	4549
31	147	4472
32	152	4457
33	153	4374
34	155	4286
35	156	4189
36	160	4170
37	162	4102
38	163	4027
39	167	4019
40	171	4010
41	174	3988
42	177	3948
43	181	3942
44	184	3916
45	188	3906
46	192	3898
47	196	3894
48	200	3887
49	203	3875
50	206	3844
51	208	3802
52	211	3785
53	214	3758
54	217	3745
55	221	3739
56	226	3744
57	230	3743
58	234	3743
59	238	3734
60	240	3700
61	243	3685
62	247	3685
63	251	3676
64	255	3668
65	257	3637
66	259	3613
67	262	3602
68	266	3596
69	270	3597
70	274	3592
71	278	3589
72	281	3572
73	285	3574
74	290	3584
75	295	3587
76	298	3580
77	302	3580
78	306	3569
79	309	3555
80	313	3557
81	317	3559
82	322	3558
83	325	3553
84	330	3554
85	334	3550
86	338	3547
87	341	3540
88	345	3532
89	348	3525
90	351	3512
91	353	3493
92	357	3490
93	361	3488
94	365	3480
95	368	3470
96	370	3453
97	374	3443
98	377	3436
99	381	3430
100	384	3424
101	388	3419
102	391	3412
103	395	3405
104	399	3403
105	403	3401
106	407	3399
107	410	3393
108	414	3389
109	417	3381
110	421	3376
111	425	3369
112	428	3363
113	432	3360
114	436	3357
115	439	3350
116	444	3350
117	447	3347
118	452	3348
119	455	3343
120	459	3336
121	462	3330
122	466	3324
123	469	3317
124	473	3311
125	476	3306
126	480	3300
127	484	3297
128	488	3298
129	492	3296
130	496	3290
131	499	3284
132	502	3278
133	506	3272
134	509	3267
135	513	3260
136	516	3256
137	520	3250
138	523	3244
139	528	3244
140	532	3241
141	536	3239
142	539	3234
143	543	3229
144	546	3223
145	550	3219
146	553	3213
147	557	3207
148	560	3202
149	564	3196
150	567	3191
151	571	3190
152	575	3188
153	579	3184
154	583	3178
155	586	3172
156	589	3167
157	593	3162
158	597	3157
159	600	3152
160	603	3147
161	607	3142
162	611	3138
163	614	3134
164	619	3133
165	622	3128
166	626	3122
167	629	3117
168	632	3112
169	636	3107
170	639	3102
171	643	3097
172	647	3093
173	650	3088
174	654	3085
175	658	3082
176	662	3078
177	665	3073
178	669	3068
179	672	3063
180	675	3058
181	679	3053
182	682	3048
183	686	3044
184	690	3040
185	691	3028
186	695	3022
187	699	3020
188	703	3018
189	706	3014
190	710	3009
191	713	3004
192	717	2999
193	719	2987
194	722	2981
195	725	2976
196	729	2971
197	730	2959
198	733	2954
199	737	2951
200	741	2947
201	745	2944
202	748	2940
203	752	2936
204	756	2932
205	759	2928
206	763	2924
207	767	2920
208	771	2918
209	774	2914
210	778	2909
211	782	2907
212	786	2906
213	790	2903
214	793	2898
215	797	2893
216	800	2889
217	804	2885
218	807	2880
219	811	2876
220	814	2871
221	817	2866
222	821	2863
223	825	2860
224	829	2857
225	833	2853
226	836	2848
227	840	2844
228	843	2840
229	847	2835
230	850	2831
231	853	2826
232	857	2822
233	860	2817
234	864	2814
235	868	2810
236	872	2808
237	875	2804
238	879	2799
239	882	2796
240	886	2791
241	889	2787
242	893	2782
243	896	2778
244	900	2773
245	903	2769
246	907	2766
247	911	2763
248	915	2760
249	918	2756
250	922	2752
251	925	2748
252	929	2743
253	932	2739
254	936	2735
255	939	2731
256	943	2726
257	946	2722
258	950	2719
259	954	2715
260	957	2712
261	961	2707
262	964	2703
263	968	2699
264	971	2695
265	975	2691
266	978	2686
267	982	2682
268	985	2678
269	989	2674
270	993	2671
271	996	2667
272	1000	2664
273	1003	2660
274	1007	2656
275	1010	2651
276	1014	2647
277	1017	2642
278	1021	2638
279	1024	2634
280	1028	2630
281	1031	2626
282	1035	2623
283	1039	2620
284	1043	2616
285	1046	2612
286	1050	2608
287	1053	2604
288	1057	2600
289	1060	2596
290	1063	2592
291	1067	2588
292	1070	2584
293	1074	2580
294	1078	2577
295	1082	2574
296	1086	2571
297	1089	2567
298	1093	2562
299	1096	2558
300	1100	2555
301	1103	2551
302	1107	2546
303	1110	2542
304	1114	2538
305	1117	2534
306	1121	2531
307	1125	2527
308	1129	2525
309	1132	2521
310	1136	2517
311	1139	2512
312	1142	2508
313	1146	2504
314	1149	2500
315	1153	2496
316	1156	2492
317	1160	2488
318	1164	2485
319	1168	2482
320	1172	2480
321	1176	2476
322	1179	2472
323	1183	2468
324	1186	2464
325	1189	2460
326	1193	2456
327	1198	2455
328	1203	2454
329	1208	2454
330	1213	2453
331	1218	2450
332	1221	2446
333	1225	2443
334	1228	2439
335	1232	2435
336	1235	2431
337	1239	2427
338	1243	2423
339	1247	2422
340	1254	2423
341	1260	2425
342	1265	2423
343	1269	2421
344	1274	2418
345	1277	2414
346	1280	2410
347	1284	2406
348	1287	2402
349	1292	2399
350	1297	2398
351	1301	2396
352	1305	2393
353	1309	2389
354	1313	2385
355	1316	2381
356	1320	2377
357	1323	2373
358	1327	2369
359	1330	2365
360	1333	2361
361	1338	2358
362	1342	2356
363	1346	2353
364	1350	2349
365	1353	2345
366	1357	2341
367	1360	2337
368	1364	2333
369	1367	2329
